topic,entry_count,link
2022 asgari ücret tahmin yarışması,310,https://eksisozluk.com/2022-asgari-ucret-tahmin-yarismasi--7063032?a=popular
29 kasım 2021 istanbul'da yaşanan fırtına,237,https://eksisozluk.com/29-kasim-2021-istanbulda-yasanan-firtina--7095998?a=popular
29 kasım 2021 trendyol'un cana kastetmesi,279,https://eksisozluk.com/29-kasim-2021-trendyolun-cana-kastetmesi--7095988?a=popular
metrobüslerin moto kuryelere kalkan olması,93,https://eksisozluk.com/metrobuslerin-moto-kuryelere-kalkan-olmasi--7096166?a=popular
rte'nin faiz indirimleri devam edecek açıklaması,107,https://eksisozluk.com/rtenin-faiz-indirimleri-devam-edecek-aciklamasi--7096111?a=popular
29 kasım 2021 mehmet sevigen'in chp'den ihracı,90,https://eksisozluk.com/29-kasim-2021-mehmet-sevigenin-chpden-ihraci--7096152?a=popular
2022'de türkiye ekonomisi şahlanacak,185,https://eksisozluk.com/2022de-turkiye-ekonomisi-sahlanacak--7095929?a=popular
29 kasım 2021 göztepe fenerbahçe maçı,59,https://eksisozluk.com/29-kasim-2021-goztepe-fenerbahce-maci--7077364?a=popular
üstteki yazara psikanaliz yap,66,https://eksisozluk.com/ustteki-yazara-psikanaliz-yap--7096134?a=popular
istanbulluların istanbul dışında hayat yok sanması,154,https://eksisozluk.com/istanbullularin-istanbul-disinda-hayat-yok-sanmasi--5559929?a=popular
ekşi bekarları evleniyor kampanyası,11,https://eksisozluk.com/eksi-bekarlari-evleniyor-kampanyasi--7096231?a=popular
lost'tan akılda kalanlar,36,https://eksisozluk.com/losttan-akilda-kalanlar--4563486?a=popular
bir erkeği kaybetmenin en kısa yolu,79,https://eksisozluk.com/bir-erkegi-kaybetmenin-en-kisa-yolu--5923534?a=popular
ikinci el otomobil piyasası,225,https://eksisozluk.com/ikinci-el-otomobil-piyasasi--2309757?a=popular
alevilerin sünnilere kız vermemesi,84,https://eksisozluk.com/alevilerin-sunnilere-kiz-vermemesi--4495381?a=popular
askeri komutlar,106,https://eksisozluk.com/askeri-komutlar--3156280?a=popular
zeki kültürlü eğlenceli ama fakir erkek,78,https://eksisozluk.com/zeki-kulturlu-eglenceli-ama-fakir-erkek--7095936?a=popular
atatürk dini kendisine biat için kullanıyordu,62,https://eksisozluk.com/ataturk-dini-kendisine-biat-icin-kullaniyordu--7096138?a=popular
eğer aklınız kıtsa doların fiyatına takılırsınız,205,https://eksisozluk.com/eger-akliniz-kitsa-dolarin-fiyatina-takilirsiniz--7095867?a=popular
cafe ve restoranlarda fiyatların artık çıldırtması,230,https://eksisozluk.com/cafe-ve-restoranlarda-fiyatlarin-artik-cildirtmasi--6967569?a=popular
29 kasım 2021 superonline dolandırıcılığı,44,https://eksisozluk.com/29-kasim-2021-superonline-dolandiriciligi--7096003?a=popular
1 kez evleniyorum deyip her şeyi isteyen gelin,58,https://eksisozluk.com/1-kez-evleniyorum-deyip-her-seyi-isteyen-gelin--7095438?a=popular
doktorun doktora mobbing uygulaması rezaleti,365,https://eksisozluk.com/doktorun-doktora-mobbing-uygulamasi-rezaleti--7095621?a=popular
en süründüren hastalık,38,https://eksisozluk.com/en-surunduren-hastalik--7096170?a=popular
libido yükselten şeyler,33,https://eksisozluk.com/libido-yukselten-seyler--5366391?a=popular
fatih terim,108,https://eksisozluk.com/fatih-terim--37577?a=popular
29 kasım 2021 jack dorsey'in istifa etmesi,11,https://eksisozluk.com/29-kasim-2021-jack-dorseyin-istifa-etmesi--7096239?a=popular
29 kasım 2021 bülent arınç'ın açıklamaları,81,https://eksisozluk.com/29-kasim-2021-bulent-arincin-aciklamalari--7095973?a=popular
binersem siksinler dedirten otobüs firmaları,57,https://eksisozluk.com/binersem-siksinler-dedirten-otobus-firmalari--6258368?a=popular
sergen yalçın,62,https://eksisozluk.com/sergen-yalcin--93103?a=popular
eve gelince kedi dırdırı çekmek,18,https://eksisozluk.com/eve-gelince-kedi-dirdiri-cekmek--7096212?a=popular
15 yaşındaki çocuğa git çalış lan diyen akpli,24,https://eksisozluk.com/15-yasindaki-cocuga-git-calis-lan-diyen-akpli--7096179?a=popular
mustafa cengiz,278,https://eksisozluk.com/mustafa-cengiz--1057087?a=popular
yazarların en kötü huyu,33,https://eksisozluk.com/yazarlarin-en-kotu-huyu--5863212?a=popular
en sevdiği mevsim kış olan insan,16,https://eksisozluk.com/en-sevdigi-mevsim-kis-olan-insan--2604456?a=popular
abartıldığı kadar güzel olmayan yemekler,288,https://eksisozluk.com/abartildigi-kadar-guzel-olmayan-yemekler--7095613?a=popular
28 kasım 2021 tanju özcan habertürk canlı yayını,455,https://eksisozluk.com/28-kasim-2021-tanju-ozcan-haberturk-canli-yayini--7095420?a=popular
ali erbaş'tan bekarlara evlenin çağrısı,218,https://eksisozluk.com/ali-erbastan-bekarlara-evlenin-cagrisi--7095419?a=popular
28 kasım 2021 bakanlığın sokak ışıkları kararı,293,https://eksisozluk.com/28-kasim-2021-bakanligin-sokak-isiklari-karari--7095526?a=popular
kullanımı en çok keyif veren cep telefonu,246,https://eksisozluk.com/kullanimi-en-cok-keyif-veren-cep-telefonu--7095504?a=popular
sivas'ta su kıtlığı krizi,86,https://eksisozluk.com/sivasta-su-kitligi-krizi--7095819?a=popular
grip olacağını anlayınca yapılanlar,109,https://eksisozluk.com/grip-olacagini-anlayinca-yapilanlar--2310357?a=popular
metroda bacaklarını açarak oturan erkek,69,https://eksisozluk.com/metroda-bacaklarini-acarak-oturan-erkek--7096010?a=popular
29 kasım 2021 dolar kuru,113,https://eksisozluk.com/29-kasim-2021-dolar-kuru--7085850?a=popular
sana vurana sen de vur diyen ebeveyn,52,https://eksisozluk.com/sana-vurana-sen-de-vur-diyen-ebeveyn--6321359?a=popular
ballon d'or 2021,52,https://eksisozluk.com/ballon-dor-2021--6972640?a=popular
30 kasım 2021 akaryakıt indirimi,107,https://eksisozluk.com/30-kasim-2021-akaryakit-indirimi--7095893?a=popular
ankara'da olup da istanbul'da olmayan şey,121,https://eksisozluk.com/ankarada-olup-da-istanbulda-olmayan-sey--7094998?a=popular
spor yapmak istemek ama çok şişmek istememek,10,https://eksisozluk.com/spor-yapmak-istemek-ama-cok-sismek-istememek--7096201?a=popular
kolunun birini kesip atan yengeç,66,https://eksisozluk.com/kolunun-birini-kesip-atan-yengec--7095994?a=popular
kadınların oğlak burcu erkeğinden nefret etmesi,154,https://eksisozluk.com/kadinlarin-oglak-burcu-erkeginden-nefret-etmesi--5798310?a=popular
suriyeli sığınmacılar,11,https://eksisozluk.com/suriyeli-siginmacilar--3488850?a=popular
en sevdiği mevsim kış olan insan,15,https://eksisozluk.com/en-sevdigi-mevsim-kis-olan-insan--2604456?a=popular
28 kasım 2021 yeni malatya galatasaray maçı,495,https://eksisozluk.com/28-kasim-2021-yeni-malatya-galatasaray-maci--7094163?a=popular
onlyfans hesabı olan kızla evlenmek,43,https://eksisozluk.com/onlyfans-hesabi-olan-kizla-evlenmek--7061814?a=popular
bir erkeğin en değerli çeyizi,34,https://eksisozluk.com/bir-erkegin-en-degerli-ceyizi--6659526?a=popular
3 aralık 2021 tüik enflasyon açıklaması,106,https://eksisozluk.com/3-aralik-2021-tuik-enflasyon-aciklamasi--7078386?a=popular
ped fiyatlarının çok yüksek olması,165,https://eksisozluk.com/ped-fiyatlarinin-cok-yuksek-olmasi--6858459?a=popular
omicron varyantı,67,https://eksisozluk.com/omicron-varyanti--7093939?a=popular
acı çekerken asaletini koruyan insan,54,https://eksisozluk.com/aci-cekerken-asaletini-koruyan-insan--5227790?a=popular
bir kadını kaybetmenin en kısa yolu,56,https://eksisozluk.com/bir-kadini-kaybetmenin-en-kisa-yolu--5427594?a=popular
maaş artışının %66 olması gerektiği,95,https://eksisozluk.com/maas-artisinin-66-olmasi-gerektigi--7095812?a=popular
kilo aldırmasa 7/24 bıkmadan yenilecek gıdalar,182,https://eksisozluk.com/kilo-aldirmasa-7-24-bikmadan-yenilecek-gidalar--6245580?a=popular
henüz tadılmamış en meşhur yemek,29,https://eksisozluk.com/henuz-tadilmamis-en-meshur-yemek--7096039?a=popular
tanju özcan,119,https://eksisozluk.com/tanju-ozcan--2040357?a=popular
28 kasım 2021 mehmet ceyhan açıklaması,183,https://eksisozluk.com/28-kasim-2021-mehmet-ceyhan-aciklamasi--7095500?a=popular
00.00'da başlayan şehirler arası otobüs yolculuğu,167,https://eksisozluk.com/00-00da-baslayan-sehirler-arasi-otobus-yolculugu--7095515?a=popular
29 kasım 2021 havanın gereksiz sıcak olması,78,https://eksisozluk.com/29-kasim-2021-havanin-gereksiz-sicak-olmasi--7095794?a=popular
restoranda istemeden masaya su bırakma çakallığı,10,https://eksisozluk.com/restoranda-istemeden-masaya-su-birakma-cakalligi--7096224?a=popular
göğüs dekolteli kıyafetiyle pankek satan hemşire,63,https://eksisozluk.com/gogus-dekolteli-kiyafetiyle-pankek-satan-hemsire--7095858?a=popular
27 kasım 2021 ihh gönüllülerinin kaza yapması,52,https://eksisozluk.com/27-kasim-2021-ihh-gonullulerinin-kaza-yapmasi--7095841?a=popular
100 şınav 100 barfiks 100 squat 200 mekik,65,https://eksisozluk.com/100-sinav-100-barfiks-100-squat-200-mekik--5343679?a=popular
verdiğimiz oydan bu ve öbür dünyada sorumluyuz,56,https://eksisozluk.com/verdigimiz-oydan-bu-ve-obur-dunyada-sorumluyuz--7095636?a=popular
fren yerine gaza basıp 3 dükkan 3 arabaya çarpmak,148,https://eksisozluk.com/fren-yerine-gaza-basip-3-dukkan-3-arabaya-carpmak--7095366?a=popular
görülmeye değer bir dairedir,31,https://eksisozluk.com/gorulmeye-deger-bir-dairedir--7096020?a=popular
anın fotoğrafı,52,https://eksisozluk.com/anin-fotografi--6459985?a=popular
iş arkadaşı ile fuckbuddy olmak,44,https://eksisozluk.com/is-arkadasi-ile-fuckbuddy-olmak--6136443?a=popular
bu gece olması istenen mucize,102,https://eksisozluk.com/bu-gece-olmasi-istenen-mucize--7095726?a=popular
tayyip erdoğan'ın böyle zikzakları yok,24,https://eksisozluk.com/tayyip-erdoganin-boyle-zikzaklari-yok--7096071?a=popular
sergen yalçın,61,https://eksisozluk.com/sergen-yalcin--93103?a=popular
türkiye'de en yaygın psikolojik rahatsızlık,90,https://eksisozluk.com/turkiyede-en-yaygin-psikolojik-rahatsizlik--6982937?a=popular
düğünsüz evlilik,96,https://eksisozluk.com/dugunsuz-evlilik--4851226?a=popular
devletin içindeyim işlem başlatırım,93,https://eksisozluk.com/devletin-icindeyim-islem-baslatirim--7095196?a=popular
mhp ankara il başkanının etkinlik basması,80,https://eksisozluk.com/mhp-ankara-il-baskaninin-etkinlik-basmasi--7095289?a=popular
psikolojik durumunu bir tablo ile anlat,119,https://eksisozluk.com/psikolojik-durumunu-bir-tablo-ile-anlat--7095484?a=popular
nagehan alçı,59,https://eksisozluk.com/nagehan-alci--1153550?a=popular
nihal bengisu karaca,17,https://eksisozluk.com/nihal-bengisu-karaca--644388?a=popular
sünnilerin alevilere kız vermemesi,10,https://eksisozluk.com/sunnilerin-alevilere-kiz-vermemesi--4497925?a=popular
kadınların paraya önem vermiyoruz yalanı,48,https://eksisozluk.com/kadinlarin-paraya-onem-vermiyoruz-yalani--7094421?a=popular
58.90 liraya 4 menü hamburger yemek,111,https://eksisozluk.com/58-90-liraya-4-menu-hamburger-yemek--7095435?a=popular
fiyatı korkunç bir şekilde artan ürünler,19,https://eksisozluk.com/fiyati-korkunc-bir-sekilde-artan-urunler--5774727?a=popular
türkçe şarkılarda geçen mükemmel sözler,17,https://eksisozluk.com/turkce-sarkilarda-gecen-mukemmel-sozler--1961086?a=popular
neşeli kaprissiz anlayışlı huzur veren kadın,27,https://eksisozluk.com/neseli-kaprissiz-anlayisli-huzur-veren-kadin--5017348?a=popular
sevgili edinme konusunda hiçbir şey yapmayan insan,30,https://eksisozluk.com/sevgili-edinme-konusunda-hicbir-sey-yapmayan-insan--4978162?a=popular
kadınların her olayda çığlık atması,44,https://eksisozluk.com/kadinlarin-her-olayda-ciglik-atmasi--7095790?a=popular
binance,13,https://eksisozluk.com/binance--5437719?a=popular
