title,entry_id,author,is_caylak,date,edit_date,fav_num,short_content
2019'un tek kelimelik özeti,97588066,cidesphere,true,2019-11-09 23:17:00,,0,talihsizlik. 
3 kasım 2019 emre belözoğlu'nun ettiği küfür,97372038,youth gone wild,false,2019-11-04 11:10:00,,0,"büyük ihtimalle lie ya da life demiş ki türkçe'ye çevirince ikisi de çok uygun. bence yengeyi karıştırmamıştır, yengelik bir durum yok ortada. lakin fuck your life ile ne demek istemiş olabilir? çok yavan bir küfür. bence fuck your lie dedi küçük enişte. o değil de sen senelerce "
3 kasım 2019 zaman gazetesinin döneceğiz tweeti,97415308,ulukayin,false,2019-11-05 13:17:00,,0,"bir aktroll demiş ki erdoğan ölmeden dönemezler. fettah tamince fetö'nün resmi yayın organı zaman gazetesinin resmi ortağı olmasına rağmen beraat etti. daha dün ya dün, baş fetöcülerden olan nazlı ılıcak ve ahmet altan tahliye oldu amk. daha neyin fetö mücadelesinden bahsediyorsu"
babala tv 10 kasım videosu,97437063,chatinnn,false,2019-11-05 23:47:00,,1,mükemmel bir video! ama bazı amsalaklar bazı şeyleri anlar mı? sanmam... 
recep ivedik 6,97544231,capcuk,false,2019-11-08 18:52:00,,0,nete dustugunde indirip sardirarak izleyip gulup eglenenip sonra yer kaplamasin diye silecegim filim 
en delikanlı kitap karakteri,97332314,karamuk,false,2019-11-03 12:40:00,,0,orhan kemal'in suçlu romanındaki cevdet... 
sevdiğini 60 dk görmek için 8 saat yol giden insan,97340409,the tempest,false,2019-11-03 17:14:00,,3,6 dakika için de gidilir: oyle yürekten seviyorsan akli basından atacaksın. 
kablowebtv,97508474,infinitum nihil,false,2019-11-07 19:37:00,,0,ilk başlarda kusursuz olan fakat son zamanlarda sıçışlarda olan platform.izlerken sürekli takılma-donma problemi var ve internet hızım 100 mbps. 
tiktok uygulamasını hiç indirmemiş yazarlar,97318718,smirnoff gibi kadinim len,true,2019-11-03 00:20:00,,0,"indirip, bir iki saat izleyip tekrar kaldırıyorum. anlaşılan ne yardan ne serden vazgeçiyorum. bizimkisi tatlı ekşi bir ilişki :/ "
ayrıldıktan sonra sevdiğini anlayan insan,97459402,gomby,false,2019-11-06 16:26:00,,3,"hafıza kaybıdır o, sevmediğini unutmuştur. "
mutsuzluktan ölmek,97560882,genelevdeki polis,false,2019-11-09 03:04:00,,1,(bkz: kahırdan ölmek ) bilimsel bir açıklaması illa ki vardır ama böyle bir şey var. 
65 yaş üstünün siyasetten meni yasası,97349137,proyorummm,false,2019-11-03 20:56:00,2019-11-03 20:57:00,0,65 değilde 70 mantık li olabilir sonuçta bu adamlar yönetici bunama bu insanlarda 70den önce zor ya. yaş taşımıyorlar sonuçta. meni deyincede akla acayip şeyler geliyor kardeş duzelt şunu. 
dua ve bedduanın çalışmadığı gerçeği,97397203,nicksizhonos,true,2019-11-04 23:03:00,,0,bedduam ışık hızında kabul oluyor ama duamın kabul olduğunu hiç görmedim. sonra neden deist oldun... 
trendyol,97558744,post tenebras lux,false,2019-11-09 01:26:00,2019-11-09 01:27:00,0,"indirim yok diyen kitle indirim başladığı gibi siteyi çökertti. şarjlı diş fırçası, araba süpürgesi haricinde ihtiyacım olan bir ürün yok. bu ürünlerin de acelesi yok. "
orgazmdan daha zevkli anlar,97350697,khanmir,false,2019-11-03 21:22:00,,4,dışarda yürürken kulaklık kulakta müzik dinleme esnasında iyi şarkıya denk gelip etraftaki insanlar bakıyor mu vs. diye hiç takmadan kendinden geçercesine dans etmek. * hele sahildeysen denize karşı ayrı keyifli :p 
yann tiersen vs evgeny grinko vs ludovico einaudi,97430967,okyanuscokderinmis,false,2019-11-05 21:20:00,2019-11-05 21:21:00,15,bir piyanist karşılaştırmasıdır. hakkımı evgeny grinkodan yana kullanıyorum. edit:imla. 
hakan günday,97321849,jupiteredogru,true,2019-11-03 01:30:00,,0,"hakan günday'ın * adlı kitabını okudum geçenlerde ve uzun süre sonrasında öneri üzerine okumuş olduğum bir kitaptı. dehşet içinde okudum kitabı çünkü psikolojik olarak bu kadar çok etkileneceğimi hiç düşünmemiştim. biraz ürpertici, biraz manyak, ve tonlarca tesadüf (öh anasını di"
6 kasım 2019 real madrid galatasaray maçı,97478762,korkenzieher,false,2019-11-07 00:19:00,,1,pembe kafa ve bekler varken andone'yi çıkartan adam korkak göt verenin tekidir. 
bir erkeğin sahibi olmak için yapılması gerekenler,97442478,sevmeksevismekmutluluksevgihuzur,false,2019-11-06 02:44:00,2019-11-06 02:47:00,0,ya amına koyayım canım o kadar sıkılıyordu ki intihar bile sıkıcı geldi.. taaaa ki şu başlığı görene kadar olm malsınız yeminle ya şuraya düzgün şekilde yazılmış 2 kelime bile mal olduğunuzu gösterir. yapılması gereken mi lannn hayla gülüyorum asdsadsadasd…. çözüm: amın varsa sen
evrim teorisi,97365221,timbaskull,false,2019-11-04 03:30:00,,1, https://www.youtube.com/watch?v=mo0mis1orsa videoda kuantumu anlatıyor. ama evriminde boş olduğunu anlatıyor bana göre. 
